YearID	gridcode	Shape_Leng	Shape_Area	year
2001_410	1	70165.05	86352037.68	2001
2001_411	1	28307.97	15507912.7	2001
2001_412	1	154355.79	86029648.81	2001
2001_413	1	14260.73	5445768.93	2001
2001_414	1	12373.37	4553163.74	2001
2001_415	1	18230.5	7457147.69	2001
2001_416	1	6711.24	2485521.46	2001
2001_417	1	27431.22	14983017.95	2001
2001_418	1	49228.32	23150481.11	2001
2001_419	1	299487.55	339825373.1	2001
2001_420	1	7439.38	2268780.33	2001
2001_421	1	12335.88	3846823.5	2001
2001_422	1	13284.69	6833317.9	2001
2001_423	1	39239.04	15950302.26	2001
2001_424	1	9421.26	2258697.31	2001
2001_425	1	11439.83	3626116.1	2001
2001_426	1	8360.09	2276890.65	2001
2001_427	1	7614.85	2485215.37	2001
2001_428	1	11431.4	2715511.74	2001
2001_429	1	10540.39	3403247.37	2001
2001_430	1	14369.1	5228147.17	2001
2001_431	1	9408.28	2928506.01	2001
2001_432	1	567746.72	455296492.1	2001
2001_433	1	16966.77	5665225.4	2001
2001_434	1	77986.35	51578820.72	2001
2001_435	1	21840.81	14581258.16	2001
2001_436	1	31418.16	17800957.26	2001
2001_437	1	12138.21	3165427.75	2001
2001_438	1	11353.78	2497332.97	2001
2001_439	1	18097.89	9780398.63	2001
2001_440	1	98167.58	77620555.32	2001
2001_441	1	15237.81	6106485.94	2001
2001_442	1	14304.8	4504835.37	2001
2001_443	1	108892.07	85181601.63	2001
2001_444	1	10512.17	2933359.8	2001
2001_445	1	15154.46	4304721.8	2001
2001_446	1	13244.79	6114007.68	2001
2001_447	1	24581.52	18791692.16	2001
2001_448	1	26500.62	16090652.54	2001
2001_449	1	27647.47	11969707.11	2001
2001_450	1	12442	4759529.47	2001
2001_451	1	9544.58	2953160.19	2001
2001_452	1	107759.65	68950412.93	2001
2001_453	1	11501.92	3153411.74	2001
2001_454	1	88982.18	60210995	2001
2001_455	1	12241.85	4980500.19	2001
2001_456	1	8512.14	3158426	2001
2001_457	1	14249.44	4984190.32	2001
2001_458	1	22540.15	13764814.47	2001
2001_459	1	11332.71	2940724.14	2001
2001_460	1	10367.13	2960394.52	2001
2001_461	1	51572.81	27992102.9	2001
2001_462	1	55513.91	19964676.34	2001
2001_463	1	8600.47	2251288.85	2001
2001_464	1	11128.01	3161593.68	2001
2001_465	1	21650.59	8134026.72	2001
2001_466	1	7611.57	2482883.7	2001
2001_467	1	26949.27	11074480.3	2001
2001_468	1	34032.81	12920358.58	2001
2001_469	1	10399.37	3149201.49	2001
2001_470	1	38849.27	23457502.04	2001
2001_471	1	19206.25	6146308.6	2001
2001_472	1	12370.99	3641385.36	2001
2001_473	1	13350.01	3627763.25	2001
2001_474	1	534834.01	558033077.9	2001
2001_475	1	31244.41	18500426.72	2001
2001_476	1	8509.15	2254518.9	2001
2001_477	1	43399.02	19516187.68	2001
2001_478	1	61318.6	30161484.55	2001
2001_479	1	7697.3	2699955.31	2001
2001_480	1	33091.03	23658898.76	2001
2001_481	1	30562.87	16046011.29	2001
2001_482	1	18994.54	7646600.05	2001
2001_483	1	10316.83	2707268.97	2001
2001_484	1	10433.47	3622842.16	2001
2001_485	1	18133.72	6551358.51	2001
2001_486	1	8501.24	2250364.05	2001
2001_487	1	72294.01	59951041.33	2001
2001_488	1	26730.09	21881648.8	2001
2001_489	1	90751.51	50556950.81	2001
2001_490	1	20898.25	9449479.15	2001
2001_491	1	102564.31	91374392.43	2001
2001_492	1	1707554.88	1886857303	2001
2001_493	1	46029.98	35243674.14	2001
2001_494	1	10334.3	3395521.47	2001
2001_495	1	139296.09	90537557.13	2001
2001_496	1	280497.94	331285215.8	2001
2001_497	1	13174.63	6822203.81	2001
2001_498	1	46284.58	28221470.42	2001
2001_499	1	10449.33	2725343.75	2001
2001_500	1	97322.47	81557257.5	2001
2001_501	1	15178.09	5454759.74	2001
2001_502	1	36862.09	17244940.41	2001
2001_503	1	15090.48	5841933.77	2001
2001_504	1	55490.59	28001629.65	2001
2001_505	1	7513.69	2257288.41	2001
2001_506	1	13361.04	4087810.95	2001
2001_507	1	25518.77	8854350.01	2001
2001_508	1	20055.81	10862636.05	2001
2001_509	1	16026.55	4513857.23	2001
2001_510	1	67000.82	56858491.12	2001
2001_511	1	11449.48	3631846.33	2001
2001_512	1	11359.89	3637101.36	2001
2001_513	1	28569.16	14697869.98	2001
2001_514	1	7618.93	2261459.28	2001
2001_515	1	24475.5	13804745.18	2001
2001_516	1	23503.99	12376564.42	2001
2001_517	1	8524.98	2489294.79	2001
2001_518	1	18589.83	5446602.28	2001
2001_519	1	15133.32	5197243.75	2001
2001_520	1	13236.86	4298115.51	2001
2001_521	1	11293.43	3820039.1	2001
2001_522	1	22557.65	12208232.79	2001
2001_523	1	174318.86	143747964.1	2001
2001_524	1	60700.55	48622786.15	2001
2001_525	1	19628.3	9022219.98	2001
2001_526	1	17890.53	8765047.53	2001
2001_527	1	11353.52	3406370.05	2001
2001_528	1	12541.96	4305938.39	2001
2001_529	1	14249.91	4305063.63	2001
2001_530	1	85131.66	62219305.37	2001
2001_531	1	13251.1	5894365.49	2001
2001_532	1	8441.76	2725473.39	2001
2001_533	1	33342.8	13761584.07	2001
2001_534	1	16018.07	7215314.16	2001
2001_535	1	91945.32	68840319.1	2001
2001_536	1	13358.1	5447716.7	2001
2001_537	1	14202.43	5176625.33	2001
2001_538	1	13317.33	5640134.53	2001
2001_539	1	173960.1	129075727.9	2001
2001_540	1	13090.92	4493126.97	2001
2001_541	1	14329.1	6100669.59	2001
2001_542	1	55877.49	51394531.19	2001
2001_543	1	19427.9	4736598.91	2001
2001_544	1	17784.56	4716284.68	2001
2001_545	1	16216.46	6538919.94	2001
2001_546	1	10411.23	4960499.2	2001
2001_547	1	13458.09	5902732.95	2001
2001_548	1	17246.79	5656888.59	2001
2001_549	1	14267.3	5451148.78	2001
2001_550	1	21879.77	8309926.67	2001
2001_551	1	41791.49	24181829.55	2001
2001_552	1	24608.16	10212927.94	2001
2001_553	1	12227.94	4519746.22	2001
2001_554	1	16208.33	5856592.29	2001
2001_555	1	4245486.83	6095138715	2001
2001_556	1	32410.87	11101612.67	2001
2001_557	1	20741.84	10164689	2001
2001_558	1	9624.89	3845892.34	2001
2001_559	1	75753.81	40677059.89	2001
2001_560	1	10521.04	4066772.75	2001
2001_561	1	6506.73	2254133.88	2001
2001_562	1	15185.96	8534268.99	2001
2001_563	1	11456.45	3636010.13	2001
2001_564	1	10587.47	2693727.02	2001
2001_565	1	21966.8	10867459.02	2001
2001_566	1	10443.93	3176507.12	2001
2001_567	1	13288.85	3818602.29	2001
2001_568	1	13084.77	3142707.53	2001
2001_569	1	33260	14084344.85	2001
2001_570	1	17091.55	6293813.85	2001
2001_571	1	11488.36	4041841.71	2001
2001_572	1	14977.14	6135696.74	2001
2001_573	1	9407.86	3605817.48	2001
2001_574	1	14326.61	4742916.83	2001
2001_575	1	16139.24	7913223.92	2001
2001_576	1	317597.43	268053140.6	2001
2001_577	1	13315.69	6991854.76	2001
2001_578	1	7506.67	2253779.9	2001
2001_579	1	14245.47	3849540.48	2001
2001_580	1	22186.15	15197516.51	2001
2001_581	1	9513.21	3158832.2	2001
2001_582	1	7638.21	3409250.55	2001
2001_583	1	12443.15	3852045.83	2001
2001_584	1	11311.08	3381409.9	2001
2001_585	1	8515.67	2709901.4	2001
2001_586	1	12362.88	3636839.03	2001
2001_587	1	322146.76	199394049.6	2001
2001_588	1	7628.78	2267163.97	2001
2001_589	1	23941.36	10160931.58	2001
2001_590	1	29219.58	10363353.28	2001
2001_591	1	49879.66	33179166.97	2001
2001_592	1	8641.98	2499576.97	2001
2001_593	1	12260.15	3635004.43	2001
2001_594	1	32460.45	13324917.21	2001
2001_595	1	48224.85	26803053.87	2001
2001_596	1	10603.47	3376998.51	2001
2001_597	1	13121.1	3611489.54	2001
2001_598	1	8705.93	2703526.57	2001
2001_599	1	98871.92	55430768.45	2001
2001_600	1	11426.21	3164519.05	2001
2001_601	1	9332.98	2492236.77	2001
2001_602	1	33120.62	13824684.91	2001
2001_603	1	23619.06	11268089.43	2001
2001_604	1	19747.89	10852471.92	2001
2001_605	1	19937.72	10615483.7	2001
2001_606	1	23667.65	8302226.61	2001
2001_607	1	68391.99	41962856.99	2001
2001_608	1	18047.1	8595109.63	2001
2001_609	1	22557.12	7010461.85	2001
2001_610	1	48924.86	22433235.26	2001
2001_611	1	19894.3	13401099.59	2001
2001_612	1	40659.92	17151074.93	2001
2001_613	1	11336.8	3849904.08	2001
2001_614	1	10601.99	4725835.68	2001
2001_615	1	7518.4	2261042.86	2001
2001_616	1	7523.67	2490691.44	2001
2001_617	1	34072.57	15817238.94	2001
2001_618	1	34118.95	24101727.08	2001
2001_619	1	10285.83	4488714.9	2001
2001_620	1	7502.35	2927296.99	2001
2001_621	1	129924.81	109614075.2	2001
2001_622	1	100943.48	74914063.19	2001
2001_623	1	9383.57	3588092.64	2001
2001_624	1	28504.42	16879571.26	2001
2001_625	1	108350.06	75550733.58	2001
2001_626	1	6603.75	2252713.56	2001
2001_627	1	10527.83	4297616.73	2001
2001_628	1	13126.98	5422880.73	2001
2001_629	1	8408.52	2480364.53	2001
2001_630	1	10308.66	2930382.14	2001
2001_631	1	10324.04	2260726.22	2001
2001_632	1	8407.57	2479983.03	2001
2001_633	1	10381.05	3362932.89	2001
2001_634	1	12317.59	5866698.88	2001
2001_635	1	48344.61	27275321.78	2001
2001_636	1	8604.35	2702326.02	2001
2001_637	1	40834	14947506.66	2001
2001_638	1	13029.57	3843223.27	2001
2001_639	1	10444.25	3176873.24	2001
2001_640	1	19736.18	5646099.35	2001
2001_641	1	7599.69	2474632.87	2001
2001_642	1	68499.51	42644761.65	2001
2001_643	1	18129.34	10157085.4	2001
2001_644	1	9519.7	2259189.6	2001
2001_645	1	7517.27	2260738	2001
2001_646	1	8606.4	3154122.08	2001
2001_647	1	10407.17	4731774.62	2001
2001_648	1	15862.5	4082584.94	2001
2001_649	1	35634.29	11950472.98	2001
2001_650	1	7628.96	2267116.92	2001
2001_651	1	51810.92	27238910.82	2001
2001_652	1	14994.48	6297263.51	2001
2001_653	1	29134.55	14785816.86	2001
2001_654	1	13321.18	5416813.75	2001
2001_655	1	12329.76	4747980.71	2001
2001_656	1	7718.63	2260264.85	2001
2001_657	1	10441.98	2721868.32	2001
2001_658	1	7629.39	2494130.59	2001
2001_659	1	16858.87	5375572.21	2001
2001_660	1	13148.09	4987224.4	2001
2001_661	1	19928.59	7220659.49	2001
