src_YearID	nbr_YearID
2001_833	2001_1483
2001_834	2001_1483
2001_835	2001_1483
2001_836	2001_1483
2001_837	2001_1483
2001_838	2001_1483
2001_839	2001_1483
2001_840	2001_1483
2001_841	2001_1431
2001_842	2001_1483
2001_843	2001_1483
2001_844	2001_1404
2001_844	2001_1408
2001_844	2001_1417
2001_844	2001_1483
2001_845	2001_1483
2001_846	2001_1483
2001_847	2001_1483
2001_848	2001_1483
2001_849	2001_1483
2001_850	2001_1483
2001_851	2001_1483
2001_852	2001_1483
2001_853	2001_1414
2001_853	2001_1483
2001_854	2001_1483
2001_855	2001_1483
2001_856	2001_1483
2001_857	2001_1483
2001_858	2001_1483
2001_859	2001_1483
2001_860	2001_1483
2001_861	2001_1483
2001_862	2001_1483
2001_863	2001_1483
2001_864	2001_1483
2001_865	2001_1483
2001_866	2001_1483
2001_867	2001_1483
2001_868	2001_1483
2001_869	2001_1483
2001_870	2001_1483
2001_871	2001_1483
2001_872	2001_1483
2001_873	2001_1483
2001_874	2001_1483
2001_875	2001_1483
2001_876	2001_1483
2001_877	2001_1483
2001_878	2001_1483
2001_879	2001_1483
2001_880	2001_1420
2001_880	2001_1423
2001_880	2001_1424
2001_880	2001_1431
2001_880	2001_1483
2001_881	2001_1483
2001_882	2001_1483
2001_883	2001_1483
2001_884	2001_1483
2001_885	2001_1483
2001_886	2001_1483
2001_887	2001_1483
2001_888	2001_1483
2001_889	2001_1483
2001_890	2001_1426
2001_890	2001_1430
2001_890	2001_1483
2001_891	2001_1483
2001_892	2001_1483
2001_893	2001_1483
2001_894	2001_1483
2001_895	2001_1483
2001_896	2001_1483
2001_897	2001_1483
2001_898	2001_1483
2001_899	2001_1483
2001_900	2001_1483
2001_901	2001_1483
2001_902	2001_1483
2001_903	2001_1483
2001_904	2001_1483
2001_905	2001_1483
2001_906	2001_1483
2001_907	2001_1483
2001_908	2001_1483
2001_909	2001_1483
2001_910	2001_1483
2001_911	2001_1483
2001_912	2001_1483
2001_913	2001_1483
2001_914	2001_1483
2001_915	2001_1483
2001_916	2001_1457
2001_917	2001_1483
2001_918	2001_1483
2001_919	2001_1483
2001_920	2001_1483
2001_921	2001_1483
2001_922	2001_1483
2001_923	2001_1421
2001_923	2001_1483
2001_924	2001_1483
2001_925	2001_1483
2001_926	2001_1483
2001_927	2001_1483
2001_928	2001_1483
2001_929	2001_1483
